time;logger;level;message;exception
2011-10-26 22:13:08.7072;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3214934016
  PollingInterval     = 00:02:00";
2011-10-26 22:13:08.8852;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2011-10-26 22:13:10.0283;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2011-10-26 22:13:10.0283;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2011-10-26 22:13:15.0386;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-10-26 22:13:15.0326;Raven.Database.Server.HttpServer;Debug;Request #   1: HEAD    -    50 ms - <default>  - 404 - /indexes/RavenCommitByDate;
2011-10-26 22:13:15.0686;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -    79 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-10-26 22:13:17.4177;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index RavenCommitByDate:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByDate : AbstractViewGenerator
{
	public Index_RavenCommitByDate()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {CommitStamp = c.CommitStamp})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { CommitStamp = c.CommitStamp, __document_id = c.__document_id }));
		this.AddField(""CommitStamp"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByDate : AbstractViewGenerator
{
	public Index_RavenCommitByDate()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {CommitStamp = c.CommitStamp})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { CommitStamp = c.CommitStamp, __document_id = c.__document_id }));
		this.AddField(""CommitStamp"");
		this.AddField(""__document_id"");
	}
}
";
2011-10-26 22:13:17.5117;Raven.Database.Indexing.IndexStorage;Info;Creating index RavenCommitByDate with encoded name RavenCommitByDate;
2011-10-26 22:13:17.8197;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for RavenCommitByDate;
2011-10-26 22:13:17.8937;Raven.Database.Server.HttpServer;Debug;Request #   3: PUT     - 2 518 ms - <default>  - 201 - /indexes/RavenCommitByDate;
2011-10-26 22:13:17.9207;Raven.Database.Server.HttpServer;Debug;Request #   4: HEAD    -     0 ms - <default>  - 404 - /indexes/RavenCommitByRevisionRange;
2011-10-26 22:13:18.1908;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index RavenCommitByRevisionRange:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByRevisionRange : AbstractViewGenerator
{
	public Index_RavenCommitByRevisionRange()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision, __document_id = c.__document_id }));
		this.AddField(""StreamId"");
		this.AddField(""StartingStreamRevision"");
		this.AddField(""StreamRevision"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitByRevisionRange : AbstractViewGenerator
{
	public Index_RavenCommitByRevisionRange()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { StreamId = c.StreamId, StartingStreamRevision = c.StartingStreamRevision, StreamRevision = c.StreamRevision, __document_id = c.__document_id }));
		this.AddField(""StreamId"");
		this.AddField(""StartingStreamRevision"");
		this.AddField(""StreamRevision"");
		this.AddField(""__document_id"");
	}
}
";
2011-10-26 22:13:18.1908;Raven.Database.Indexing.IndexStorage;Info;Creating index RavenCommitByRevisionRange with encoded name RavenCommitByRevisionRange;
2011-10-26 22:13:18.2068;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for RavenCommitByRevisionRange;
2011-10-26 22:13:18.2068;Raven.Database.Server.HttpServer;Debug;Request #   5: PUT     -   228 ms - <default>  - 201 - /indexes/RavenCommitByRevisionRange;
2011-10-26 22:13:18.2328;Raven.Database.Server.HttpServer;Debug;Request #   6: HEAD    -     0 ms - <default>  - 404 - /indexes/RavenCommitsByDispatched;
2011-10-26 22:13:18.4838;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index RavenCommitsByDispatched:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitsByDispatched : AbstractViewGenerator
{
	public Index_RavenCommitsByDispatched()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {Dispatched = c.Dispatched})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { Dispatched = c.Dispatched, __document_id = c.__document_id }));
		this.AddField(""Dispatched"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_RavenCommitsByDispatched : AbstractViewGenerator
{
	public Index_RavenCommitsByDispatched()
	{
		this.ViewText = @""docs.RavenCommits
	.Select(c => new {Dispatched = c.Dispatched})
"";
		this.ForEntityNames.Add(""RavenCommits"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""RavenCommits"").Select(c => new { Dispatched = c.Dispatched, __document_id = c.__document_id }));
		this.AddField(""Dispatched"");
		this.AddField(""__document_id"");
	}
}
";
2011-10-26 22:13:18.4838;Raven.Database.Indexing.IndexStorage;Info;Creating index RavenCommitsByDispatched with encoded name RavenCommitsByDispatched;
2011-10-26 22:13:18.4838;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for RavenCommitsByDispatched;
2011-10-26 22:13:18.4838;Raven.Database.Server.HttpServer;Debug;Request #   7: PUT     -   157 ms - <default>  - 201 - /indexes/RavenCommitsByDispatched;
2011-10-26 22:13:18.4838;Raven.Database.Server.HttpServer;Debug;Request #   8: HEAD    -     0 ms - <default>  - 404 - /indexes/RavenSnapshotByStreamIdAndRevision;
